# frame_id,track_id,center_x,center_y
150,1,940.5,593.0
160,1,927.5,598.0
170,1,933.5,610.0
180,1,948.0,629.0
190,1,968.0,649.0
200,1,1000.0,659.5
210,1,1031.0,678.0
220,1,1053.0,691.5
230,1,1058.0,689.5
240,1,1055.0,675.5
250,1,1046.0,653.5
260,1,1035.5,621.5
270,1,1024.5,588.0
280,1,1011.0,576.0
290,1,999.5,585.0
300,1,981.0,599.0
310,1,955.0,611.0
320,1,937.0,620.0
330,1,929.0,631.0
340,1,941.0,635.0
350,1,966.0,647.0
360,1,1006.0,650.0
370,1,1059.0,649.0
380,1,1119.0,647.0
390,1,1183.0,637.0
400,1,1238.0,647.0
410,1,1262.0,654.0
420,1,1257.0,659.0
430,1,1257.0,672.0
440,1,1264.0,674.0
450,1,1249.0,685.0
460,1,1206.0,704.5
470,1,1153.0,706.0
480,1,1098.0,715.0
490,1,1040.5,719.0
500,1,995.5,708.0
510,1,961.5,688.0
520,1,943.0,662.0
530,1,917.0,655.0
540,1,916.0,639.0
550,1,909.0,648.0
560,1,910.5,667.5
570,1,912.5,697.0
580,1,912.0,734.0
590,1,909.0,707.0
600,1,902.0,689.5
610,1,910.0,691.0
620,1,896.0,715.0
630,1,865.0,715.0
640,1,831.0,704.0
650,1,794.0,667.0
660,1,770.0,629.0
670,1,770.0,612.0
680,1,802.0,604.0
690,1,850.0,600.0
700,1,901.0,607.0
710,1,971.0,597.0
720,1,1029.0,585.5
730,1,1043.0,573.5
740,1,1040.5,572.0
750,1,1043.0,578.0
760,1,1055.5,569.0
770,1,1062.0,568.5
780,1,1057.5,546.5
790,1,1041.0,502.5
800,1,1025.0,458.0
810,1,1026.5,421.5
820,1,1050.5,424.5
830,1,1065.5,464.0
840,1,1064.5,524.5
850,1,1063.5,585.0
860,1,1051.5,568.5
870,1,1026.0,536.0
880,1,990.0,540.0
890,1,955.5,561.0
900,1,939.5,581.0
910,1,955.0,563.0
920,1,973.5,549.0
930,1,985.5,539.0
940,1,986.0,567.5
950,1,988.0,606.0
960,1,976.0,636.0
970,1,960.5,643.0
980,1,933.0,644.0
990,1,910.0,646.0
1000,1,878.0,634.0
1010,1,847.0,601.5
1020,1,830.0,553.5
1030,1,846.0,537.0
1040,1,881.5,532.5
1050,1,884.0,556.5
1060,1,863.0,591.5
1070,1,869.0,606.0
1080,1,908.0,622.0
1090,1,952.5,619.5
1100,1,981.5,619.5
1110,1,1014.0,599.5
1120,1,1044.5,581.5
1130,1,1054.0,571.5
1140,1,1060.0,591.0
1150,1,1070.0,587.0
1160,1,1097.0,571.0
1170,1,1110.5,573.5
1180,1,1095.0,577.5
1190,1,1072.0,580.5
1200,1,1070.5,588.0
1210,1,1078.5,602.0
1220,1,1078.0,613.5
1230,1,1022.5,591.5
1240,1,970.5,584.0
1250,1,944.5,581.0
1260,1,933.0,567.5
1270,1,917.5,580.0
1280,1,902.0,597.5
1290,1,889.5,634.0
1300,1,911.0,631.0
1310,1,948.0,623.0
1320,1,979.0,628.5
1330,1,1012.5,626.0
1340,1,1055.5,610.5
1350,1,1074.5,594.5
1360,1,1080.0,586.0
1370,1,1072.0,573.0
1380,1,1056.0,558.0
1390,1,1032.5,575.5
1400,1,1024.0,613.5
1410,1,1011.0,698.5
1420,1,1000.0,787.0
1430,1,998.0,815.0
1440,1,985.0,855.5
1450,1,984.5,865.5
1460,1,981.0,877.0
1470,1,1001.5,876.0
1480,1,1024.0,889.0
